blockIdx.x: 0, blockIdx.y: 32, iteration: 41, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 0, iteration: 51, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 63, iteration: 49, sparsity: 0.125000
blockIdx.x: 0, blockIdx.y: 32, iteration: 42, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 0, iteration: 52, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 63, iteration: 50, sparsity: 0.125000
blockIdx.x: 0, blockIdx.y: 0, iteration: 53, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 32, iteration: 43, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 63, iteration: 51, sparsity: 0.125000
blockIdx.x: 0, blockIdx.y: 0, iteration: 54, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 32, iteration: 44, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 63, iteration: 52, sparsity: 0.125000
blockIdx.x: 0, blockIdx.y: 0, iteration: 55, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 63, iteration: 53, sparsity: 0.125000
blockIdx.x: 0, blockIdx.y: 32, iteration: 45, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 0, iteration: 56, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 63, iteration: 54, sparsity: 0.125000
blockIdx.x: 0, blockIdx.y: 32, iteration: 46, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 0, iteration: 57, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 63, iteration: 55, sparsity: 0.125000
blockIdx.x: 0, blockIdx.y: 0, iteration: 58, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 32, iteration: 47, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 63, iteration: 56, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 0, iteration: 59, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 32, iteration: 48, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 63, iteration: 57, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 0, iteration: 60, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 32, iteration: 49, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 63, iteration: 58, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 0, iteration: 61, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 63, iteration: 59, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 32, iteration: 50, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 0, iteration: 62, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 63, iteration: 60, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 0, iteration: 63, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 32, iteration: 51, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 63, iteration: 61, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 32, iteration: 52, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 63, iteration: 62, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 32, iteration: 53, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 63, iteration: 63, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 32, iteration: 54, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 32, iteration: 55, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 32, iteration: 56, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 32, iteration: 57, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 32, iteration: 58, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 32, iteration: 59, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 32, iteration: 60, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 32, iteration: 61, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 32, iteration: 62, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 32, iteration: 63, sparsity: 0.000000
Time elapsed: 130731
no error
